Book,chapter_verse,name,reference,nchar,words
Ether,4:7,"the Father of the heavens and of the earth, and all things that in them are",Ether 4:7,58,12
Mosiah,3:8,Creator of all things from the beginning,Mosiah 3:8,40,7
Mormon,9:29,"Jesus Christ, the Son of the living God",Mormon 9:29,39,8
3 Nephi,10:10,"the Lord Jesus Christ, their Redeemer",3 Nephi 10:10,37,6
Mosiah,7:19,"God of Abraham, and Isaac, and Jacob",Mosiah 7:19,36,7
Mosiah,15:4,Eternal Father of heaven and earth,Mosiah 15:4,34,6
Mosiah,7:27,"God, the Father of all things",Mosiah 7:27,29,6
Alma,28:8,"Lord, the Redeemer of all men",Alma 28:8,29,6
2 Nephi,25:19,"Jesus Christ, the Son of God",2 Nephi 25:19,28,6
3 Nephi,13:9,Our Father who art in heaven,3 Nephi 13:9,28,6
Mormon,3:14,Lord and Savior Jesus Christ,Mormon 3:14,28,5
Mosiah,3:18,"Christ, the Lord Omnipotent",Mosiah 3:18,27,4
Alma,5:48,Only Begotten of the Father,Alma 5:48,27,5
1 Nephi,11:32,Son of the everlasting God,1 Nephi 11:32,26,5
Mosiah,3:8,Father of heaven and earth,Mosiah 3:8,26,5
Moroni,10:34,"Jehovah, the Eternal Judge",Moroni 10:34,26,4
1 Nephi,11:21,Son of the Eternal Father,1 Nephi 11:21,25,5
2 Nephi,2:27,great Mediator of all men,2 Nephi 2:27,25,5
3 Nephi,9:18,the beginning and the end,3 Nephi 9:18,25,5
Mormon,6:22,Eternal Father of heaven,Mormon 6:22,24,4
Moroni,4:3,"God, the Eternal Father",Moroni 4:3,23,4
2 Nephi,19:6,The Everlasting Father,2 Nephi 19:6,22,3
Jacob,5:7,master of the vineyard,Jacob 5:7,22,4
Mosiah,11:23,"Lord, the Almighty God",Mosiah 11:23,22,4
1 Nephi,10:5,Redeemer of the world,1 Nephi 10:5,21,4
2 Nephi,31:16,Son of the living God,2 Nephi 31:16,21,5
1 Nephi,22:12,Mighty One of Israel,1 Nephi 22:12,20,4
2 Nephi,26:9,Son of righteousness,2 Nephi 26:9,20,3
Jacob,5:8,Lord of the vineyard,Jacob 5:8,20,4
Alma,24:13,Son of our great God,Alma 24:13,20,5
Ether,9:22,Son of Righteousness,Ether 9:22,20,3
1 Nephi,19:18,Lord their Redeemer,1 Nephi 19:18,19,3
1 Nephi,21:26,Mighty One of Jacob,1 Nephi 21:26,19,4
2 Nephi,19:6,The Prince of Peace,2 Nephi 19:6,19,4
Mosiah,3:21,Lord God Omnipotent,Mosiah 3:21,19,3
3 Nephi,5:20,Savior Jesus Christ,3 Nephi 5:20,19,3
1 Nephi,19:10,God of our fathers,1 Nephi 19:10,18,4
1 Nephi,1:14,Lord God Almighty,1 Nephi 1:14,17,3
1 Nephi,20:17,Lord thy Redeemer,1 Nephi 20:17,17,3
2 Nephi,13:15,Lord God of Hosts,2 Nephi 13:15,17,4
2 Nephi,27:34,Holy One of Jacob,2 Nephi 27:34,17,4
Jacob,4:5,Only Begotten Son,Jacob 4:5,17,3
Mosiah,3:12,Lord Jesus Christ,Mosiah 3:12,17,3
1 Nephi,22:9,Father of heaven,1 Nephi 22:9,16,3
2 Nephi,1:10,the true Messiah,2 Nephi 1:10,16,3
Mosiah,3:19,"Christ, the Lord",Mosiah 3:19,16,3
Mosiah,3:5,Lord Omnipotent,Mosiah 3:5,15,2
Alma,30:44,Supreme Creator,Alma 30:44,15,2
3 Nephi,9:18,Alpha and Omega,3 Nephi 9:18,15,3
3 Nephi,13:22,heavenly Father,3 Nephi 13:22,15,2
1 Nephi,6:4,God of Abraham,1 Nephi 6:4,14,3
1 Nephi,7:21,Lord their God,1 Nephi 7:21,14,3
Mosiah,16:15,Eternal Father,Mosiah 16:15,14,2
Alma,5:50,King of heaven,Alma 5:50,14,3
Alma,11:44,Christ the Son,Alma 11:44,14,3
Alma,11:44,God the Father,Alma 11:44,14,3
1 Nephi,5:9,God of Israel,1 Nephi 5:9,13,3
1 Nephi,19:12,God of nature,1 Nephi 19:12,13,3
1 Nephi,20:2,Lord of Hosts,1 Nephi 20:2,13,3
2 Nephi,1:17,Lord your God,2 Nephi 1:17,13,3
Alma,5:38,good shepherd,Alma 5:38,13,2
Alma,11:22,Supreme Being,Alma 11:22,13,2
Alma,26:14,Most High God,Alma 26:14,13,3
1 Nephi,2:7,Lord our God,1 Nephi 2:7,12,3
1 Nephi,6:4,God of Isaac,1 Nephi 6:4,12,3
1 Nephi,6:4,God of Jacob,1 Nephi 6:4,12,3
1 Nephi,16:20,Lord his God,1 Nephi 16:20,12,3
1 Nephi,17:55,Lord thy God,1 Nephi 17:55,12,3
1 Nephi,21:7,his Holy One,1 Nephi 21:7,12,3
2 Nephi,2:6,Holy Messiah,2 Nephi 2:6,12,2
2 Nephi,22:2,Lord Jehovah,2 Nephi 22:2,12,2
2 Nephi,30:5,Jesus Christ,2 Nephi 30:5,12,2
Jacob,2:10,Almighty God,Jacob 2:10,12,2
Alma,5:44,Christ Jesus,Alma 5:44,12,2
Alma,18:2,Great Spirit,Alma 18:2,12,2
Helaman,5:47,Well Beloved,Helaman 5:47,12,2
Helaman,13:38,Eternal Head,Helaman 13:38,12,2
1 Nephi,10:10,Lamb of God,1 Nephi 10:10,11,3
1 Nephi,12:18,Eternal God,1 Nephi 12:18,11,2
2 Nephi,3:6,Lord my God,2 Nephi 3:6,11,3
2 Nephi,31:11,Beloved Son,2 Nephi 31:11,11,2
1 Nephi,11:7,Son of God,1 Nephi 11:7,10,3
2 Nephi,6:17,Mighty God,2 Nephi 6:17,10,2
Alma,31:30,O Lord God,Alma 31:30,10,3
Moroni,8:3,Holy Child,Moroni 8:3,10,2
2 Nephi,19:6,Wonderful,2 Nephi 19:6,9,1
2 Nephi,19:6,Counselor,2 Nephi 19:6,9,1
2 Nephi,24:14,Most High,2 Nephi 24:14,9,2
1 Nephi,9:4,Lord God,1 Nephi 9:4,8,2
1 Nephi,10:6,Redeemer,1 Nephi 10:6,8,1
1 Nephi,13:41,Shepherd,1 Nephi 13:41,8,1
2 Nephi,9:39,Holy God,2 Nephi 9:39,8,2
2 Nephi,20:17,Holy One,2 Nephi 20:17,8,2
Helaman,10:11,Almighty,Helaman 10:11,8,1
1 Nephi,1:14,Messiah,1 Nephi 1:14,7,1
2 Nephi,9:5,Creator,2 Nephi 9:5,7,1
Mormon,5:14,Beloved,Mormon 5:14,7,1
1 Nephi,13:40,Savior,1 Nephi 13:40,6,1
1 Nephi,14:8,Father,1 Nephi 14:8,6,1
2 Nephi,10:3,Christ,2 Nephi 10:3,6,1
2 Nephi,26:12,Jesus,2 Nephi 26:12,5,1
Jacob,2:6,Maker,Jacob 2:6,5,1
Alma,31:17,O God,Alma 31:17,5,2
Mormon,5:2,Being,Mormon 5:2,5,1
1 Nephi,1:5,Lord,1 Nephi 1:5,4,1
1 Nephi,11:25,Lamb,1 Nephi 11:25,4,1
2 Nephi,16:5,King,2 Nephi 16:5,4,1
1 Nephi,1:1,God,1 Nephi 1:1,3,1
1 Nephi,1:9,One,1 Nephi 1:9,3,1
2 Nephi,31:12,Son,2 Nephi 31:12,3,1
3 Nephi,11:8,Man,3 Nephi 11:8,3,1
